stop,rrr,capital,sharpe,dd,cagr,avg_yearly
0.001,1.0,-196.20825000134755,-0.19904359004693614,-99.47772638265342,-93.2249189820507,-89.40829633270569
0.001,1.5,1269372.3328750096,1.4714576151749845,-18.753989063901503,28.9045572014619,29.45306439041516
0.001,2.0,12056576.02549995,3.08507032967413,-9.937851004312282,61.417820800651036,55.61526477134756
0.001,2.5,33752270.345875025,3.566815001796607,-7.274972802085087,78.90507650634136,72.8201606751368
0.001,3.0,44388094.46599994,3.732389319801199,-7.306535830884105,83.86930957244341,80.20755541353948
0.001,3.5,56386885.51074991,3.7960320808674584,-6.918625261052274,88.31801692584125,86.4462603132172
0.001,4.0,61564568.08199986,3.818085204393368,-6.281233062917504,89.97830646750586,88.38727532309635
0.001,4.5,64750049.791375086,3.8067719478999202,-7.488651725941751,90.93833871100637,89.94005512565077
0.001,5.0,67298001.52249987,3.7911406755457917,-7.694752832298808,91.67610213256987,90.93738972965193
0.001,5.5,70217688.15587468,3.7803414386291614,-7.361732341778869,92.4912045931362,93.51910953397275
0.0015,1.0,564797.703124994,0.5754993185033357,-47.579210730819874,18.885131780987074,27.673967307664977
0.0015,1.5,1646978.5508750028,1.726697891624944,-14.469550821784615,32.302751012398986,28.269049309325183
0.0015,2.0,3385778.90675001,2.378857478959344,-10.64501493158801,42.1805655519526,34.64137430224425
0.0015,2.5,8527964.899437493,2.9079420605653303,-8.892462915328077,55.9286687616978,45.723802655978396
0.0015,3.0,11043134.990874987,2.9452612399237283,-8.821727439670859,60.00790928064907,50.58206646081611
0.0015,3.5,13818195.761250013,3.0938437121062003,-8.703638907375009,63.63241915238851,53.44702880329104
0.0015,4.0,17562055.898375023,3.0707496411277657,-9.211734674980661,67.5996862842426,57.058581951030376
0.0015,4.5,19340461.099500015,3.01219886588493,-9.356180405485537,69.22281217257778,60.01244115540787
0.0015,5.0,24050307.81750005,3.0337369168263897,-9.175973007862067,72.9483870687479,63.878206484230105
0.0015,5.5,29902359.403500017,3.1727462106395747,-8.728272983650402,76.75317762387455,66.42965806830922
0.002,1.0,760624.7564999977,0.8791685813178012,-25.232452876850044,22.474219411246278,23.515298563517035
0.002,1.5,1686614.3024999944,1.7141406501037681,-12.084212363549456,32.61749188215237,28.35626418748972
0.002,2.0,2122051.8054999965,2.0468396559347966,-9.13193873779547,35.695872976854325,27.833355892455046
0.002,2.5,2454046.547750002,2.035420418973102,-11.223598620500837,37.68103956314168,31.49435660094303
0.002,3.0,2810686.8729999964,2.1378999969813823,-11.366408747158047,39.56041874261245,31.861436947982202
0.002,3.5,3911852.2282499988,2.303473161632386,-10.768038543168004,44.24722625513231,35.33966338542139
0.002,4.0,4572227.777000007,2.3822132648736125,-8.217495754022897,46.51309712847122,37.12958642326889
0.002,4.5,4627328.568999999,2.301394379037502,-10.66004683961053,46.68856827919239,37.937324822283166
0.002,5.0,4680032.666999996,2.4190782527616252,-9.032011819696109,46.854656052704,38.079403546506754
0.002,5.5,6052118.461249993,2.3916587813795176,-11.594125529536917,50.67611160773804,40.935971695515285
0.0025,1.0,872334.3337499961,0.9146699310234082,-30.049786405295343,24.16267016628837,25.11494845114636
0.0025,1.5,1717191.2934374942,1.6374582169800622,-14.727510164964217,32.855781741006915,27.00130438500743
0.0025,2.0,2036907.3881249987,1.6875037547525669,-16.365458565674214,35.14177848893034,31.15801780873656
0.0025,2.5,2180854.6162500083,1.7678276494372576,-13.721524971374782,36.06697748789873,29.509587599510667
0.0025,3.0,2446833.103125001,1.763547878102433,-13.88386186575771,37.64054912893548,32.34788456997665
0.0025,3.5,2752654.9550000015,1.931034080953905,-14.770393183278063,39.269795864197945,32.01878893177229
0.0025,4.0,2688646.049375001,1.9576449902040578,-14.538905354555286,38.94277352242093,33.336856584992766
0.0025,4.5,2591046.522187505,1.7933633165381377,-15.211759441626935,38.43038936509122,31.703392636687173
0.0025,5.0,2614524.265000004,1.7402905878080623,-15.809157044521713,38.55521140750244,31.68511212143731
0.0025,5.5,2627115.7940625,1.7744230308717632,-13.138323696684573,38.62174062438972,32.71956084803246
0.003,1.0,1120265.7104999956,1.0121080005305505,-28.57740592520362,27.305137286107307,28.466648178066478
0.003,1.5,1762609.2751249997,1.4003362559797738,-26.167894165362622,33.202772822285034,30.412650835152466
0.003,2.0,2099343.70025,1.5868247013114962,-18.238425681366685,35.55008038313843,31.626180072014797
0.003,2.5,2369384.422125007,1.6682645473562536,-18.91539608062109,37.19891027364235,32.42440900150984
0.003,3.0,2718986.2742500035,1.8086839647443567,-14.478514599261432,39.09864578542441,33.008717390204836
0.003,3.5,2482271.327500005,1.772931682114055,-16.649100073579305,37.83844786832713,32.07350599268216
0.003,4.0,2684358.0445000017,1.772143181593938,-18.646764082678942,38.920616432902676,32.24181015637831
0.003,4.5,2404485.296749997,1.6850271543803743,-13.854632524231222,37.400653126720826,31.552269234342045
0.003,5.0,2393400.568500001,1.6782968389386848,-10.92020273764051,37.33723146085715,32.14595996109109
0.003,5.5,2447048.209374997,1.648185561349438,-14.51444674348342,37.641758114426004,33.48719233034947
0.0035,1.0,1188717.4740000018,1.2098074192134538,-24.20074889770359,28.061791971055694,23.844598518361426
0.0035,1.5,1577652.8980000026,1.4252912564256477,-23.17903378198952,31.735480582323007,27.335894199979137
0.0035,2.0,2018490.4117499972,1.6586219965718942,-26.67028368180543,35.019188891017805,28.0855601091968
0.0035,2.5,2306662.854124999,1.662629941846515,-23.704084579221956,36.83162294170261,30.69480705936171
0.0035,3.0,2382371.8119999967,1.6604419460101298,-21.330317271008678,37.2738671128225,31.603019468242504
0.0035,3.5,2384246.2193124946,1.5697118132203618,-21.601453700681954,37.28465488487216,32.46088324423023
0.0035,4.0,2269804.3998749973,1.509182613035813,-19.51315271916711,36.61157041223042,32.8555030690088
0.0035,4.5,2242282.8075625044,1.6682743137518916,-17.96681039812119,36.445153495253194,31.604706662783915
0.0035,5.0,2382863.889499994,1.5364952779466021,-18.954307944417874,37.27669990464098,31.924214253934522
0.0035,5.5,2396929.137687492,1.6442794151290778,-17.589672032953192,37.35744892822237,33.056628811510166
0.004,1.0,1098391.4730000016,1.063930955353882,-28.422908250059457,27.054556286071985,25.145433458107192
0.004,1.5,1558350.9800000098,1.381554055022901,-26.135112291709905,31.573546507131912,26.825168834024637
0.004,2.0,1992860.2210000055,1.477572033240077,-32.56437521955599,34.84689948630093,30.087820788416696
0.004,2.5,2062048.4035000047,1.508174534674143,-21.684100611497733,35.30752486070685,30.886258515435305
0.004,3.0,2070368.8389999988,1.417023848045211,-30.33272457855255,35.36197825952274,32.88156643238656
0.004,3.5,2046538.9005000025,1.4349996844841724,-24.23357691161921,35.20549230518404,32.0917878976012
0.004,4.0,1963104.3770000036,1.406327753245151,-21.29192852224705,34.64435713038525,32.26784518236763
0.004,4.5,1863708.3825000005,1.20111085930316,-22.312404735675358,33.94714674359152,32.387611324657875
0.004,5.0,1787114.331000002,1.291212989059554,-28.66332124785607,33.386661128871275,31.590385304461705
0.004,5.5,1717076.064999999,1.2508088959072827,-28.43633568838589,32.85489094602454,30.86295675425319
