date,entry,exit,qty,direction,pnl,capital
2016-01-22 15:15:00,7427.65,7420.22235,65,1,-522.797249999976,99477.20275000003
2016-01-25 09:15:00,7422.55,7463.374025,65,1,2613.561624999993,102090.76437500001
2016-01-25 11:05:00,7474.25,7466.77575,65,1,-525.8262500000137,101564.938125
2016-01-27 10:55:00,7435.75,7443.18575,65,-1,-523.3237499999768,101041.61437500002
2016-01-27 12:00:00,7440.4,7447.8404,65,-1,-523.6260000000266,100517.98837499999
2016-01-27 12:45:00,7474.85,7467.375150000001,65,1,-525.8652499999744,99992.12312500001
2016-01-28 09:35:00,7441.3,7433.8587,65,1,-523.6845000000267,99468.43862499998
2016-01-28 10:20:00,7424.4,7431.8243999999995,65,-1,-522.585999999992,98945.85262499998
2016-01-28 12:40:00,7425.45,7432.87545,65,-1,-522.6542499999823,98423.198375
2016-01-28 14:35:00,7461.45,7453.98855,65,1,-524.9942499999861,97898.20412500002
2016-01-28 15:00:00,7452.5,7445.0475,65,1,-524.4125000000213,97373.791625
2016-01-29 09:35:00,7471.45,7463.97855,65,1,-525.6442500000003,96848.147375
2016-01-29 11:20:00,7454.25,7495.248375,65,1,2624.894375000008,99473.04175
2016-01-29 13:35:00,7493.4,7534.6137,65,1,2638.890500000016,102111.93225000001
2016-01-29 13:50:00,7532.5,7524.9675,65,1,-529.6125000000166,101582.31975
2016-02-01 09:15:00,7530.5,7571.91775,65,1,2652.153749999975,104234.47349999996
2016-02-01 10:40:00,7594.85,7587.25515,65,1,-533.6652500000264,103700.80824999994
2016-02-01 11:10:00,7590.2,7582.6098,65,1,-533.3629999999766,103167.44524999996
2016-02-01 12:05:00,7590.1,7582.5099,65,1,-533.3565000000226,102634.08874999994
2016-02-02 09:55:00,7566.85,7559.28315,65,1,-531.8452500000103,102102.24349999992
2016-02-02 12:10:00,7571.95,7564.37805,65,1,-532.1767499999714,101570.06674999995
2016-02-02 12:40:00,7568.1,7560.5319,65,1,-531.9265000000269,101038.14024999992
2016-02-02 15:05:00,7529.85,7488.4358250000005,65,-1,2651.9213749999926,103690.06162499991
2016-02-03 09:15:00,7454.25,7413.251625,65,-1,2624.894375000008,106314.95599999992
