start,end,peak,bottom,dd_percent
2016-05-06 12:45:00,2016-05-09 09:30:00,271572.34889955114,183482.54815181345,32.43695505256326
2016-05-11 09:15:00,2016-05-11 10:25:00,271572.34889955114,184854.25498623896,31.931856930466573
2016-05-11 12:20:00,2016-05-11 14:00:00,271572.34889955114,187368.9136330424,31.005894233235733
2016-05-12 12:30:00,2016-05-12 15:15:00,271572.34889955114,185643.9116964524,31.641084797952633
2016-05-13 09:15:00,2016-05-13 12:15:00,271572.34889955114,185849.4558151967,31.565398109091554
2016-05-13 14:55:00,2016-05-16 10:55:00,271572.34889955114,186449.6378033458,31.344395495761766
2016-05-16 14:00:00,2016-05-17 09:15:00,271572.34889955114,183910.43007503095,32.2793978031042
2016-05-17 10:05:00,2016-05-17 12:10:00,271572.34889955114,188501.87055907835,30.58871003512909
2016-05-17 14:40:00,2016-05-26 13:15:00,271572.34889955114,163413.1125349836,39.82704307078529
2016-06-17 09:25:00,2016-06-20 12:30:00,271572.34889955114,181705.17312959436,33.09143074915802
2016-06-22 12:55:00,2016-06-22 13:40:00,271572.34889955114,189690.22506581785,30.15112700741847
2016-06-22 15:05:00,2016-06-23 14:25:00,271572.34889955114,186292.92012681605,31.402103019066253
2016-06-24 09:15:00,2016-12-01 09:15:00,271572.34889955114,117741.53271483172,56.64450626437606
2016-12-02 09:55:00,2016-12-02 11:55:00,271572.34889955114,189304.54581303027,30.293144136316318
2016-12-07 14:30:00,2016-12-22 13:25:00,271572.34889955114,159487.0640504925,41.272716203709166
2016-12-22 13:40:00,2016-12-23 09:15:00,271572.34889955114,189360.0312811982,30.272712944262796
2017-03-15 15:20:00,2017-03-17 09:20:00,279051.91666900966,193137.9642619555,30.787802295928618
2017-03-28 13:15:00,2017-03-29 11:20:00,279051.91666900966,190647.643828629,31.680224201878232
2017-03-29 14:30:00,2017-03-30 09:30:00,279051.91666900966,193390.6328010999,30.697256944310723
2017-04-07 09:15:00,2017-05-29 11:40:00,279051.91666900966,148516.25197411957,46.77827203377415
2017-05-30 09:15:00,2017-05-31 14:15:00,279051.91666900966,191038.34119455164,31.540215356719116
2017-05-31 14:50:00,2018-03-19 10:35:00,279051.91666900966,92934.5224063196,66.69633252634078
2018-04-26 15:00:00,2018-04-27 09:15:00,279051.91666900966,193341.03493096295,30.715030651343096
2018-10-11 09:15:00,2018-10-12 12:45:00,935801.1112333998,606378.1313508243,35.202242862096114
2018-10-12 13:00:00,2018-10-16 10:15:00,935801.1112333998,630507.1624632054,32.623807036071206
2018-10-16 11:15:00,2018-10-17 09:15:00,935801.1112333998,630602.7805760942,32.613589254563905
2019-01-21 09:25:00,2019-01-21 09:45:00,1683686.197309914,1169529.2058647685,30.537578336547078
2019-01-22 14:05:00,2019-02-01 12:25:00,1683686.197309914,978206.328452732,41.90091181981254
2019-02-01 13:35:00,2019-02-07 09:15:00,1683686.197309914,1051208.559759878,37.565054495342906
2019-02-07 12:25:00,2019-02-11 09:15:00,1683686.197309914,1091473.2731765718,35.17359262548699
2019-02-11 14:20:00,2019-02-12 14:40:00,1683686.197309914,1159635.648140999,31.125191262255964
2019-02-13 09:15:00,2019-02-13 14:35:00,1683686.197309914,1166413.7400896242,30.72261672316104
2019-02-20 09:15:00,2019-02-25 14:20:00,1683686.197309914,1119934.8381246987,33.483160940912924
2019-02-26 09:15:00,2019-02-26 14:30:00,1683686.197309914,1130395.3953575958,32.861871935300705
2019-02-26 14:50:00,2019-02-27 09:15:00,1683686.197309914,1158007.7932272344,31.22187524745258
2019-02-27 13:50:00,2019-02-28 15:00:00,1683686.197309914,1122718.6938813974,33.317818030746736
2019-03-01 10:25:00,2019-03-05 13:20:00,1683686.197309914,1136364.6821951375,32.507335154808054
2019-03-11 09:15:00,2019-03-11 13:10:00,1683686.197309914,1157160.897693133,31.272175329228773
2019-05-03 09:40:00,2019-05-06 09:15:00,1963997.7484053536,1342975.6199386157,31.620307557428212
2019-08-08 10:15:00,2019-08-08 15:15:00,3425835.90263466,2335254.3215588285,31.83402860122731
2019-08-13 13:45:00,2019-08-13 14:30:00,3425835.90263466,2374451.385158706,30.68986803096378
2019-08-14 15:05:00,2019-08-22 14:55:00,3425835.90263466,1911653.6764229909,44.198912885674936
2019-08-30 09:20:00,2019-08-30 11:00:00,3425835.90263466,2348390.21068487,31.45059257278417
2019-08-30 14:00:00,2019-09-03 13:35:00,3425835.90263466,2302712.605204964,32.783919876779585
2019-09-05 15:00:00,2019-09-11 09:25:00,3425835.90263466,2215391.7466776483,35.332811913907264
2019-09-11 12:35:00,2019-09-12 09:15:00,3425835.90263466,2374995.0255764443,30.67399919097292
2019-09-13 09:20:00,2019-09-19 13:05:00,3425835.90263466,1978839.5623539663,42.237759817038295
2019-09-19 13:25:00,2019-09-19 14:45:00,3425835.90263466,2367643.348958328,30.88859430956756
2019-09-20 10:40:00,2019-09-20 11:25:00,3425835.90263466,2387555.613856267,30.30735616904175
2020-03-05 14:50:00,2020-03-06 10:35:00,7938486.195405,5425292.577722908,31.65834840321059
2020-03-06 11:25:00,2020-03-09 10:40:00,7938486.195405,5239187.255944732,34.002691105297785
2020-03-09 11:15:00,2020-03-09 12:45:00,7938486.195405,5462454.229399707,31.190228275996546
2020-03-09 14:40:00,2020-03-09 15:05:00,7938486.195405,5529544.688636592,30.34509914702334
2020-03-23 14:25:00,2020-03-23 14:50:00,16905609.134507943,11644913.074622655,31.11805092634662
2020-03-23 15:25:00,2020-03-25 12:30:00,16905609.134507943,11643256.652922785,31.1278489861899
2020-03-26 14:00:00,2020-03-26 14:10:00,16905609.134507943,11229099.906365989,33.57766752429519
2020-04-22 10:10:00,2020-04-22 14:10:00,21416880.90561771,14794894.12593468,30.91947332977914
2020-04-27 14:40:00,2020-04-28 09:15:00,21416880.90561771,14590468.421354432,31.873980690029846
2020-05-04 09:15:00,2020-06-12 09:15:00,25572573.534888685,9618531.327021252,62.38731579401392
2020-06-16 09:15:00,2020-06-19 09:15:00,25572573.534888685,14955466.97674524,41.517552168374905
2020-06-19 09:30:00,2020-06-19 12:00:00,25572573.534888685,17031401.349480845,33.3997365331851
2020-06-19 13:00:00,2020-06-19 13:30:00,25572573.534888685,17624558.140945025,31.080232824827643
2020-06-29 09:15:00,2020-07-02 13:55:00,25572573.534888685,14981119.370995248,41.41724003430279
2020-07-02 15:10:00,2020-07-03 09:15:00,25572573.534888685,17788023.998122938,30.44100949067672
2020-07-07 15:20:00,2020-10-08 13:25:00,25572573.534888685,8748130.456193741,65.79096568337692
2020-10-08 13:55:00,2020-10-12 09:15:00,25572573.534888685,16733757.590208322,34.563654426964725
2020-10-13 13:45:00,2020-10-15 14:05:00,25572573.534888685,17011544.85506426,33.477384151988474
2020-10-16 09:15:00,2020-11-06 13:55:00,25572573.534888685,12297696.022279754,51.910604517367034
2020-11-06 14:35:00,2020-11-09 09:15:00,25572573.534888685,17864252.09676115,30.142924127722488
2020-12-22 13:15:00,2020-12-24 09:15:00,25572573.534888685,16974635.05064755,33.62171770671012
2021-03-09 09:15:00,2021-03-18 14:10:00,56477951.86233941,32354606.893115383,42.712853730997175
2021-03-18 15:05:00,2021-03-19 09:15:00,56477951.86233941,39360249.254885584,30.308646193787066
2021-04-05 14:25:00,2021-04-06 09:15:00,56477951.86233941,39412283.996841125,30.216513352138747
2021-04-06 11:40:00,2021-04-07 10:00:00,56477951.86233941,38287659.28429455,32.20777662473007
2021-04-07 10:15:00,2021-04-07 10:55:00,56477951.86233941,39095127.896707945,30.7780707204127
2021-04-07 13:40:00,2021-04-08 09:15:00,56477951.86233941,38935956.31685044,31.05990030985226
2021-04-08 14:55:00,2021-04-12 09:15:00,56477951.86233941,37026785.361424,34.44028308308012
